AVG,-
AVG_3Y,-
BAL,-
CLV_PCH_PRE,-
CLV_PCH_SM,-
CP_MEUR,-
CP_MNAC,-
CP_MPPS,-
CPI00_NAC,-
FTE,-
HC,-
HR_SAL,-
I_EU,-
I00,-
I05,-
I10,-
I12,-
I15,-
I2010,-
I2010_NSA,-
I2010_SCA,-
I90,-
I99,-
INX,-
INX_A_AVG,-
MIO_GTKM,-
MIO_NAC,-
MIO_PKM,-
MIO_TKM,-
MIO_VKM,-
NAC,-
NAT,-
PAS,-
PCH_1Y,-
PCH_3Y,-
PCH_5Y_CPI10_NAC,-
PCH_PRE,-
PCH_PRE_PER,-
PCH_PRE_PERS_SCA,-
PCH_SAME_PERS_NSA,-
PCH_SM,-
PCH_WRL_1Y,-
PCH_WRL_5Y,-
PD10_EUR,-
PER,-
PERS,-
PH,-
PPS_HAB_EU,-
RCH_A,-
RCH_A_AVG,-
RCH_M,-
RCH_MV12MAVR,-
RK,-
RT,-
RT_INC,-
RT_SINC,-
RTG,-
SEAT,-
TCO2E,-
TEU,-
THS_AWU,-
THS_FTE,-
THS_PAS,-
THS_PASF,-
THS_PER,-
THS_SEAT,-
THS_TKM,-
THS_TRKM,-
THS_VKM,-
TOE_MEUR_PPS,-
(2010 = 100),-
(2015 = 100),-
1 000 full-time equivalent,-
1 000 kg O2/day,-
1 ECU/EUR = ... units of national currency (annual average),-
2000 = 100,-
2010 = 100,-
Annual average,-
Annual average stock,-
At 1 January,-
At current prices,-
At current prices in million EUR,-
Balance - seasonally adjusted,-
By level of education (PPS based on full-time equivalents),-
By level of education - based on full-time equivalents (% - based on full-time equivalents),-
Coefficient of variation of comparative price and volume levels of final consumption by private households including indirect taxes,-
Comparative price levels of final consumption by private households including indirect taxes (EU28 = 100),-
ESD base year=100 / million tonnes CO2 equivalent,-
EUR per 1 000 kg,-
EUR per 100,-
EUR per 100 kg,-
EUR per 100 kg live weight,-
EUR per gigajoule,-
EUR per kWh,-
EUR per tonne of oil equivalent,-
EUR/month,-
Full time equivalent (% of the labour force),-
Gram of CO2 per km,-
Income quintile share ratio,-
Index,-
Index (1990 = 100),-
Index (2000 = 100),-
Index (2005 = 100),-
Index (2010 = 100),-
Index (2010 = 100) - Seasonally and calendar adjusted data,-
Index (2010 = 100) - seasonally adjusted,-
Index (2010 = 100) Seasonally and calendar adjusted data,-
Index (2010 = 100) Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),-
Index (EU28 = 100),-
"Kg per thousand euro, chain linked volumes (2010)",-
KgOE/ha,-
Livestock units per ha,-
Micrograms per cubic metre,-
Million EUR and %,-
Million passenger-km,-
Million tkm,-
Millions PPS per km²,-
Monthly average - not seasonally adjusted,-
Not seasonally adjusted,-
Number of meshes per 1 000 km2,-
Of full-time employees in enterprises with 10 or more employees (ECU/EUR),-
PPS (based on final consumption) per inhabitant,-
PPS per inhabitant,-
Rate,-
Seasonally adjusted data,-
Seasonally and calendar adjusted data,-
Secondary education (average),-
Share of persons aged 0-17 who are living in households where no-one works,-
Share of persons aged 18 - 59 who are living in households where no-one works,-
Tertiary education,-
Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),-
Value added at factor cost in the ICT sector as % of total value added at factor cost,-
Year-on-year percentage change of the value added at factor cost of the ICT sector at current prices,-
coefficient of 0 (maximal equality) to 100 (maximal inequality),-
full-time equivalent,-
full-time equivalent (% of total researchers),-
g CO2 per km,-
index (2000 = 100),-
index (2005 = 100),-
index (EU = 100),-
kg per capita,-
m³ per capita,-
pH value,-
persons per km<sup>2</sup>,-
score scale of 0 (highly corrupt) to 100 (very clean),-
thousand of persons,http://yavaa.org/ns/units/thousand
µg/m3,-
DAY,http://www.wurvoc.org/vocabularies/om-1.8/day
DEGC,http://www.wurvoc.org/vocabularies/om-1.8/degree_Celsius
degree Celsius,http://www.wurvoc.org/vocabularies/om-1.8/degree_Celsius
EUR,http://www.wurvoc.org/vocabularies/om-1.8/euro
euro,http://www.wurvoc.org/vocabularies/om-1.8/euro
GJ_GCV,http://www.wurvoc.org/vocabularies/om-1.8/gigajoule
